track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
30 Something,Tv Themes,spotify:track:0Jqacf0xVSsZvuNUXbnl0s,0.617,0.517,2,-11.399,1,0.0421,0.0728,0.958,0.138,0.663,96.714,4
"304 Goushitsu, Hakushi No Sakura",Dir En Grey,spotify:track:014il3FA5ljrzXdjNqSL6F,0.513,0.89,0,-5.398,1,0.074,4.17e-05,0.00285,0.0514,0.282,131.084,4
316,Van Halen,spotify:track:33qwYfoMm6xqbmGLFUIopa,0.623,0.0335,2,-30.374,1,0.043,0.886,0.707,0.0963,0.229,118.317,3
32 Footsteps,They Might Be Giants,spotify:track:6FyWXbIpsxpVMyXTsRZBTw,0.741,0.865,7,-3.533,0,0.0957,0.124,0,0.0748,0.962,124.669,4
321,Scorpions,spotify:track:1cSwoU3jhmQFl6icoahDK3,0.559,0.906,10,-3.952,1,0.0661,0.000155,0.00225,0.0512,0.465,129.024,4
36,System Of A Down,spotify:track:2TyFfQ1OuubEwfxFvapfzC,0.479,0.96,0,-3.612,1,0.109,1.33e-05,0.87,0.182,0.728,188.433,4
36-24-36,Shadows,spotify:track:6aAZ09YT6pdLslny2SrLDv,0.667,0.527,0,-7.865,1,0.0417,0.631,0.0261,0.0911,0.807,86.52,4
39,Queen,spotify:track:65NTcXUtOb27NHKQ4fAcw0,0.524,0.571,8,-9.686,1,0.0273,0.0271,0,0.111,0.373,101.626,4
3rd Planet,Modest Mouse,spotify:track:7Gi8kaILAUgjYqgdee9410,0.536,0.567,7,-7.512,1,0.113,0.326,1.87e-05,0.109,0.433,82.191,4
3rd Rock From the Sun,Tv Themes,spotify:track:50f57SmqLDoAqQckLlUv1H,0.298,0.764,10,-6.546,1,0.158,0.0151,0.557,0.378,0.528,200.283,4
4,Artists / Bands,spotify:track:1RG82bUzWxFQzNGDOgMXyw,0.18,0.969,5,-3.201,0,0.198,0.532,0.765,0.332,0.0515,139.346,3
4:00 AM,Our Lady Peace,spotify:track:2gz6rDUWhKn1XWi7iapbpm,0.376,0.64,3,-7.949,1,0.0441,0.0261,0,0.167,0.296,121.821,4
4 Degrees,Tool,spotify:track:0Km7kTd010H6zecFWFJFrs,0.369,0.85,0,-6.46,1,0.0328,1.32e-05,0.853,0.11,0.502,113.635,5
4 In The Morning,Gwen Stefani,spotify:track:2fczBEyVwwdRtspsT9kfvg,0.698,0.826,10,-6.261,1,0.031,0.2,0.00013,0.114,0.502,92.409,4
